                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1467,                 3.8061,                 1.5574,                0.01942,                 0.5061,                0.14847,                0.06126,                 1.5029,                 3.7686,                 1.1213,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.7722,                 3.4778,                 1.2816,                0.03995,                0.87805,                 0.4262,                0.26742,                 1.2579,                 3.4583,                 1.0101,             0.00011438,             0.00011438,             0.00011438
                      3,                 1.5055,                 2.6218,                 1.1092,                0.04588,                0.95732,                0.44326,                0.26956,                 1.2583,                 3.1658,                0.97422,             0.00017611,             0.00017611,             0.00017611
                      4,                 1.4262,                 1.4714,                 1.0582,                0.77596,                0.41463,                0.83268,                0.42703,                 1.4927,                 2.5341,                 1.0225,              0.0002352,              0.0002352,              0.0002352
                      5,                 1.3849,                 1.1105,                 1.0157,                0.75035,                 0.5015,                0.90917,                0.55251,                 1.4424,                 2.2588,                 1.0205,             0.00029164,             0.00029164,             0.00029164
                      6,                 1.3513,                  1.041,                 1.0039,                0.98574,                0.41545,                0.93465,                0.53239,                 1.3684,                 2.2933,                0.96349,             0.00034545,             0.00034545,             0.00034545
                      7,                 1.3447,                0.98136,                0.98776,                0.97155,                0.40436,                0.94045,                0.55206,                 1.4081,                 2.3347,                0.97059,             0.00039662,             0.00039662,             0.00039662
                      8,                 1.3905,                0.94652,                 1.0138,                0.97212,                0.41463,                0.95139,                0.54674,                 1.4988,                 2.1704,                0.98881,             0.00044515,             0.00044515,             0.00044515
                      9,                  1.335,                0.88764,                 1.0158,                0.93121,                0.45874,                0.94212,                0.60776,                 1.3823,                  2.076,                0.98061,             0.00049103,             0.00049103,             0.00049103
                     10,                 1.2874,                0.88592,                 1.0072,                0.84771,                 0.5096,                0.95943,                0.63667,                 1.3384,                 1.9754,                0.98001,             0.00053428,             0.00053428,             0.00053428
                     11,                 1.3491,                0.85138,                0.99631,                0.81717,                0.51661,                0.96227,                0.66897,                 1.2069,                 1.9073,                0.93292,             0.00057488,             0.00057488,             0.00057488
                     12,                 1.2656,                0.78785,                 1.0031,                0.80732,                0.50508,                0.96536,                0.62211,                 1.3128,                 2.0063,                0.95928,             0.00061285,             0.00061285,             0.00061285
                     13,                 1.4326,                0.83536,                 1.0034,                0.75905,                0.50533,                 0.9443,                0.59592,                  1.306,                 2.0371,                0.96389,             0.00064817,             0.00064817,             0.00064817
